lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
40,0,75.0,10,28,3,3,0,0,3,1
0,0,75.0,3,7,3,2,1,0,0,1
36,1,96.3,10,20,4,1,0,0,0,1
156,0,112.2,8,20,4,2,2,0,3,0
81,0,65.0,3,25,3,2,2,0,0,0
26,2,95.0,9,5,4,1,1,0,0,1
97,0,80.75,5,16,3,1,1,0,0,1
0,0,75.0,1,6,4,1,0,3,0,1
163,0,100.0,6,5,3,2,2,0,0,0
51,1,102.6,11,4,4,2,0,0,3,1
111,2,88.4,12,24,4,2,2,0,0,1
176,0,80.75,10,11,3,3,0,0,0,1
29,0,118.0,12,31,3,3,0,0,0,1
6,0,65.0,8,8,2,0,1,0,0,0
111,0,120.0,10,10,3,0,1,0,0,0
114,0,40.67,3,23,3,3,0,0,0,1
22,2,111.0,11,1,4,4,0,0,0,1
75,0,80.0,3,17,3,3,1,0,0,0
31,2,89.4,5,21,4,1,0,3,0,1
56,3,177.3,6,12,4,1,2,0,3,1
4,1,92.65,2,15,3,3,1,0,0,1
61,1,79.2,11,4,4,2,1,3,0,0
27,0,120.0,6,9,3,1,0,0,0,1
37,0,95.0,10,13,3,3,0,0,0,1
14,0,68.85,1,8,4,2,1,0,0,1
12,0,161.0,3,30,4,4,1,0,3,0
1,2,170.0,9,27,3,2,0,0,4,1
34,1,109.0,10,29,4,1,1,3,0,0
109,1,77.03,4,30,4,1,2,0,0,1
143,0,90.0,8,25,3,3,0,0,0,1
146,0,75.0,12,29,3,3,0,0,0,1
148,0,88.12,6,29,3,3,0,0,3,1
38,1,76.5,3,11,4,2,1,0,0,0
4,1,98.0,3,28,4,0,1,3,0,1
77,1,125.1,6,18,4,1,1,0,0,1
145,0,72.25,7,11,3,4,1,0,0,0
199,0,94.5,10,1,4,7,2,0,0,0
169,0,123.25,5,25,4,4,0,0,3,0
20,2,104.0,11,24,4,3,0,0,0,1
63,0,177.75,9,2,4,2,1,1,0,0
24,0,119.25,9,17,4,3,1,0,0,1
27,0,65.0,11,29,2,0,1,0,0,1
26,0,115.0,4,15,4,2,0,3,0,0
13,0,85.0,9,8,3,5,1,3,3,1
152,0,94.05,10,23,4,2,2,3,0,0
15,0,164.0,9,28,4,1,0,0,3,1
4,1,167.0,8,13,4,1,0,3,0,1
1,1,111.0,6,14,4,1,0,0,0,1
105,1,95.37,12,26,4,1,1,0,0,1
19,0,150.0,11,7,4,1,1,0,0,0
61,1,93.6,12,8,4,3,0,0,0,1
15,2,92.94,11,13,4,2,2,1,0,1
38,1,116.65,10,11,4,3,0,0,3,1
14,0,125.2,4,7,4,3,2,0,3,0
204,0,99.45,8,8,4,3,1,0,3,0
119,0,120.0,6,7,3,3,0,0,0,1
1,2,191.0,7,20,4,1,0,0,5,1
91,0,140.4,5,13,4,2,1,0,3,0
82,1,60.0,12,19,3,1,2,0,3,1
2,0,109.65,10,13,3,1,0,0,0,1
184,1,103.5,8,13,4,1,0,3,0,0
1,0,152.67,6,26,4,1,2,0,3,1
64,1,140.0,5,17,2,2,0,0,0,1
6,0,77.5,12,31,3,1,0,0,0,1
59,1,75.0,11,14,3,2,1,0,0,1
39,2,203.85,8,13,4,3,2,1,0,1
0,1,0.0,9,20,1,3,2,0,0,1
346,0,90.0,9,13,3,2,0,1,0,1
309,0,65.0,5,13,3,2,1,0,0,1
40,0,140.4,5,17,4,3,0,0,3,1
133,0,113.6,8,15,4,2,1,0,3,0
152,0,101.15,7,22,4,3,2,0,0,0
54,0,66.5,10,16,3,2,2,0,0,1
1,1,98.56,5,10,4,3,0,0,0,1
2,2,145.67,6,13,4,2,1,1,0,1
2,1,131.0,4,27,4,1,0,0,0,1
113,0,72.25,7,15,3,2,2,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
290,0,72.0,6,17,3,2,1,0,0,0
1,0,159.0,8,2,2,1,0,0,0,1
247,1,115.0,6,6,3,1,1,1,0,0
179,2,121.5,9,24,4,1,2,0,0,0
6,0,0.0,12,10,4,1,0,1,0,1
73,1,87.3,4,3,4,1,2,0,0,1
256,2,133.11,10,14,4,3,2,0,3,0
77,1,126.9,5,8,4,2,2,0,0,1
63,0,112.59,8,3,4,3,0,3,0,0
12,1,100.0,2,20,3,2,2,0,0,1
54,1,113.4,6,20,4,3,1,0,3,1
106,1,82.45,7,27,3,3,0,0,3,1
2,0,110.0,5,22,0,0,1,0,3,0
36,0,112.0,10,13,3,3,0,1,0,1
9,0,119.2,9,22,4,1,0,3,0,1
5,1,153.0,8,15,4,1,1,3,5,1
11,0,90.0,6,14,2,3,0,0,3,0
58,0,109.65,5,12,4,3,1,0,0,0
161,0,130.0,3,25,4,2,1,1,0,0
50,0,241.59,5,14,4,4,2,0,1,0
147,0,106.2,6,1,4,3,0,0,0,0
35,1,76.05,3,25,3,2,1,0,0,1
3,1,79.0,12,15,2,2,0,0,0,1
77,1,75.16,4,13,4,4,1,0,0,1
127,0,80.0,4,28,3,3,1,0,0,1
88,0,116.1,6,10,4,2,1,3,0,0
19,2,146.0,7,20,4,1,0,0,3,1
89,1,105.3,7,17,4,2,2,0,0,1
36,1,109.0,10,28,4,2,1,3,0,1
21,0,157.0,5,16,4,0,1,0,3,0
230,1,137.0,9,6,3,5,0,0,0,0
115,1,90.0,11,18,4,2,0,0,0,0
36,0,67.5,2,13,4,1,0,3,0,0
99,0,81.0,2,19,2,2,0,0,0,1
257,0,101.5,7,1,3,2,0,1,0,0
12,1,180.0,10,21,4,2,0,0,0,1
91,2,132.3,10,20,4,3,0,0,3,0
35,1,71.1,3,16,4,2,0,3,0,1
97,2,76.5,7,8,4,4,1,0,0,0
32,1,73.0,11,20,3,2,0,0,0,1
19,1,86.75,12,26,4,1,1,0,1,1
7,0,88.0,12,13,2,1,0,0,0,1
5,0,100.0,9,20,2,0,2,0,0,1
193,0,120.0,6,20,3,2,1,0,0,0
24,1,118.33,4,15,4,2,1,0,0,1
41,1,78.54,10,14,4,4,0,0,3,1
1,1,135.0,12,31,4,1,0,0,0,1
7,1,112.0,5,21,3,1,1,1,0,1
7,0,79.0,11,16,2,0,1,0,0,1
1,0,119.0,5,5,3,3,0,0,4,1
349,0,90.0,10,4,3,5,1,0,0,0
301,1,115.0,7,30,3,1,1,1,0,0
65,0,105.3,4,13,4,1,0,0,0,1
19,2,91.0,2,15,4,4,1,0,0,0
52,0,37.33,12,5,3,1,2,0,0,1
276,0,61.0,5,13,3,3,2,0,0,0
74,0,80.0,9,18,3,2,0,1,0,1
82,0,82.45,3,29,4,4,0,0,0,1
186,0,80.75,9,2,3,2,2,0,0,1
118,0,110.0,6,6,3,2,1,0,0,1
128,0,137.91,8,24,4,4,1,0,5,0
254,0,106.0,7,9,4,1,0,0,0,0
63,2,144.9,8,9,4,2,0,0,0,1
19,2,104.0,11,25,4,1,0,0,0,1
141,0,90.0,9,20,3,0,1,0,0,0
17,0,208.0,12,31,4,1,0,0,5,1
185,0,60.0,3,25,3,2,1,0,3,1
52,0,80.75,4,9,3,3,2,0,0,1
9,1,79.0,3,17,2,1,0,0,0,1
190,1,121.5,8,8,4,2,1,0,0,0
28,0,57.0,2,26,3,2,1,0,0,1
141,1,163.8,9,23,4,2,0,0,3,1
143,0,100.0,8,25,3,3,0,0,0,1
107,1,90.0,8,12,4,1,0,0,1,1
322,0,80.0,5,19,3,3,1,0,0,0
346,1,115.0,9,13,3,2,0,1,0,0
181,0,120.0,10,11,3,2,0,0,0,0
88,1,58.68,2,13,4,6,2,0,0,1
104,0,117.29,6,2,4,3,0,0,4,1
32,2,149.4,9,10,4,2,2,0,3,1
17,2,157.5,12,2,4,2,0,0,3,1
184,1,96.3,7,11,4,0,1,0,0,1
107,0,81.9,4,5,4,2,0,0,0,0
56,1,125.1,7,27,4,1,0,3,0,1
33,1,140.4,4,29,4,2,2,0,3,1
153,0,80.75,6,26,4,5,2,0,0,0
104,1,72.25,4,18,4,3,1,0,0,0
86,3,90.95,9,3,3,2,2,0,3,1
102,0,101.5,10,16,3,2,0,1,0,0
12,0,109.0,2,6,4,1,0,0,0,0
8,0,67.0,5,4,2,1,0,0,0,1
180,2,66.49,10,26,4,4,0,0,0,1
70,0,227.9,10,20,4,3,1,0,5,0
112,0,100.0,6,2,3,2,0,0,0,0
3,0,96.0,3,6,4,0,1,0,0,1
4,1,67.5,1,16,4,1,0,3,0,1
86,0,221.18,10,24,4,3,1,1,5,0
11,1,141.0,6,18,4,1,2,0,0,1
102,0,109.0,10,16,3,2,0,1,0,1
37,1,104.0,12,7,4,3,0,0,0,1
159,0,143.7,8,5,4,2,1,0,0,0
386,1,115.0,10,23,3,0,2,1,0,0
177,0,75.2,3,21,3,5,1,0,0,1
64,0,94.78,4,26,4,4,0,3,0,0
18,0,115.0,4,14,4,2,0,3,0,0
29,1,95.95,4,17,4,0,2,0,0,1
14,2,205.0,9,15,4,1,0,0,3,1
46,2,122.4,11,2,4,4,0,0,3,1
46,0,72.0,11,21,3,5,1,0,0,1
206,1,126.9,9,8,4,3,0,0,1,0
55,2,79.2,11,9,4,4,1,0,0,0
18,1,133.0,9,22,4,3,0,0,0,1
18,0,85.0,10,10,3,3,1,0,0,1
43,2,194.3,11,1,4,3,0,1,3,1
79,1,132.6,6,7,4,5,0,0,3,1
2,1,97.54,11,22,4,4,0,0,0,1
32,0,73.0,11,20,3,2,0,0,0,1
172,0,115.2,5,22,4,1,2,0,3,0
270,1,95.4,9,30,4,2,1,3,0,0
166,0,110.0,11,1,3,3,0,0,0,0
335,0,90.0,10,13,3,3,0,0,0,1
6,1,174.0,9,4,4,1,0,0,5,1
6,0,72.25,6,15,3,4,1,3,0,1
79,0,75.0,11,13,3,2,0,0,0,1
43,1,88.4,12,8,4,3,1,0,0,1
60,0,0.0,9,21,4,1,1,1,0,1
108,2,102.3,4,14,4,3,0,0,3,1
5,0,105.33,10,31,4,1,2,0,0,1
99,0,65.0,10,30,3,2,2,0,0,0
130,1,105.3,5,5,4,3,0,0,0,0
7,1,67.0,7,11,2,1,1,0,0,1
33,2,99.0,9,25,4,0,1,3,0,1
95,1,156.45,10,29,4,4,2,0,5,0
71,0,120.0,6,14,3,3,0,0,0,1
105,0,90.95,6,26,4,3,2,3,0,1
113,2,137.7,7,12,4,3,0,0,3,1
248,1,90.95,8,14,4,5,2,0,0,1
6,0,127.0,3,11,4,2,0,0,0,0
2,0,205.0,10,10,4,1,1,0,5,0
205,0,125.0,5,29,3,1,2,0,0,0
109,1,82.45,4,3,4,2,2,0,0,1
105,0,117.3,5,5,4,3,0,0,0,0
151,1,143.28,12,29,4,3,0,0,0,0
132,0,55.63,12,20,4,2,2,0,0,1
47,0,85.5,4,16,3,3,2,0,0,1
4,1,149.0,8,25,4,1,0,0,0,1
40,0,168.3,7,26,4,3,0,0,3,0
320,1,115.0,8,18,4,2,0,1,0,0
151,0,71.0,1,19,3,3,0,0,0,1
31,0,107.1,6,20,4,1,1,0,3,0
2,0,82.0,2,21,3,1,2,0,0,1
239,0,78.77,12,27,4,10,2,0,0,0
36,1,82.7,2,22,4,2,1,0,0,1
236,1,84.43,9,27,4,4,0,3,0,0
322,0,52.0,12,9,3,2,0,0,0,1
30,1,117.3,3,2,4,4,0,0,3,1
104,0,80.75,9,18,3,1,2,0,0,1
63,1,92.28,5,16,4,3,1,0,0,1
60,0,140.4,5,27,4,2,1,0,3,0
102,0,101.5,10,16,4,2,0,1,0,0
80,0,100.0,4,10,3,1,2,1,0,0
67,0,73.95,3,10,4,3,1,0,0,1
19,2,120.12,5,3,4,3,0,0,3,1
26,0,120.0,6,8,3,1,0,0,0,1
33,0,143.28,11,7,4,3,1,0,0,1
15,1,130.0,2,19,4,2,0,0,3,1
61,1,74.61,10,27,4,5,0,0,3,1
128,2,116.32,7,11,4,2,1,0,0,1
8,0,185.67,3,25,4,2,1,1,0,0
2,1,76.0,1,4,4,0,1,0,0,1
100,0,221.18,10,24,4,3,1,1,5,0
77,1,72.25,11,12,4,3,0,0,0,1
109,2,43.5,12,28,3,3,1,0,0,1
118,0,107.95,5,1,4,3,2,0,3,1
148,0,67.0,12,30,3,4,1,0,0,1
92,1,135.9,6,16,4,3,0,0,0,1
77,1,90.9,4,14,4,1,0,0,0,0
66,0,99.9,4,4,4,1,1,0,0,1
1,1,151.0,8,4,4,1,0,0,0,1
317,0,120.0,9,15,4,2,0,0,0,0
27,0,87.0,3,6,3,3,2,0,0,1
137,1,75.66,11,16,4,4,2,0,0,1
25,2,165.5,9,15,4,3,1,0,0,1
88,1,117.0,5,3,3,3,0,1,0,1
5,1,143.5,4,2,4,1,0,0,3,0
19,1,58.0,12,22,3,4,0,0,0,1
39,0,109.0,8,14,3,2,0,1,0,1
67,0,81.9,4,1,4,2,1,3,0,1
7,0,158.0,12,30,4,2,0,0,0,1
96,0,126.9,6,4,4,1,0,0,0,0
77,1,132.3,10,6,4,3,0,0,3,0
114,0,191.0,7,17,4,5,4,1,3,0
24,2,130.78,10,26,4,5,2,0,3,1
54,1,117.0,12,30,4,4,1,0,3,1
222,0,116.1,9,14,4,3,0,0,1,0
99,0,187.85,5,19,4,3,2,0,5,1
1,0,96.0,10,1,3,1,0,0,0,1
1,1,157.85,9,29,4,3,0,0,3,1
36,1,67.32,3,29,3,2,0,0,0,1
5,0,91.0,2,16,4,3,0,0,0,1
24,1,71.46,3,12,4,1,1,0,3,1
3,1,65.0,4,11,2,0,1,0,0,1
21,0,88.4,12,19,4,3,1,0,0,1
39,0,85.5,9,4,4,2,2,0,0,1
221,2,79.5,12,29,4,3,0,3,0,0
127,1,94.7,3,19,4,5,2,0,1,0
19,0,75.0,11,2,3,1,0,0,0,1
112,1,120.0,6,2,3,3,0,0,0,1
127,0,105.3,5,6,4,2,0,0,0,0
68,0,65.0,9,29,3,2,0,0,0,1
55,0,62.67,12,31,3,3,0,0,0,1
64,1,143.5,9,4,4,0,1,0,0,0
172,1,96.3,6,27,4,2,1,0,0,1
129,0,132.3,10,10,4,5,1,0,3,0
0,0,126.0,10,4,4,0,2,0,0,1
85,0,100.0,9,30,3,3,0,1,0,1
50,1,52.0,1,14,3,3,0,0,0,1
11,0,88.5,10,23,3,2,2,0,0,1
18,2,155.0,11,6,4,0,2,0,0,1
64,0,130.0,5,17,2,2,0,0,0,1
26,1,87.05,10,17,4,1,1,3,0,1
268,0,95.4,10,1,4,1,1,3,0,0
79,2,88.4,11,30,4,4,0,0,0,0
59,2,129.2,12,13,4,5,0,1,3,1
35,0,139.5,10,3,4,3,1,0,3,0
141,1,94.5,7,14,4,3,0,3,0,1
67,1,75.54,9,5,4,2,1,0,0,1
88,1,90.95,4,16,4,3,2,0,0,1
130,0,68.0,11,26,3,1,2,0,0,1
40,0,118.8,4,22,4,2,0,0,3,0
151,0,200.0,6,27,3,0,1,0,4,0
68,1,75.0,4,11,3,2,1,0,0,1
37,0,85.5,9,16,4,2,0,0,0,1
0,0,114.0,3,28,4,4,1,0,0,1
1,0,109.85,9,29,4,3,0,3,0,1
130,1,100.8,8,24,4,2,0,0,0,1
29,0,66.0,2,24,3,4,0,0,0,1
132,0,162.0,9,9,4,3,2,0,3,0
13,0,76.0,4,4,3,1,1,0,0,1
103,0,80.0,5,4,3,3,0,0,0,1
11,0,90.0,6,14,2,3,0,0,3,1
13,1,140.0,10,29,4,1,0,0,0,0
14,1,114.0,9,15,4,3,0,0,0,1
105,0,75.0,10,12,3,3,0,0,0,1
1,1,91.0,2,27,4,1,0,3,0,1
0,0,147.5,9,5,4,1,1,0,0,1
166,0,99.45,8,1,4,5,2,0,0,0
200,1,72.25,8,9,4,3,0,0,0,0
33,0,123.82,10,2,4,3,2,1,3,0
128,1,118.8,9,2,4,2,1,3,0,1
0,0,75.0,11,16,2,2,1,0,0,1
79,0,70.0,11,13,3,2,0,0,0,1
21,0,70.0,12,10,3,2,0,0,0,1
99,2,186.3,7,3,4,1,2,0,5,1
7,1,111.0,12,29,4,2,0,0,0,1
56,1,76.92,6,21,4,3,0,0,0,1
5,0,65.0,8,18,2,2,0,0,0,1
308,0,52.0,11,25,3,2,0,0,0,0
108,2,104.0,12,25,4,2,2,0,0,1
55,0,149.4,8,16,4,3,0,0,3,0
0,1,123.2,10,10,4,0,1,0,0,1
25,2,229.0,10,13,4,1,0,0,5,1
7,1,140.0,10,4,4,5,0,3,0,1
138,0,94.5,8,22,3,1,2,1,0,0
76,1,125.1,9,27,4,3,0,3,0,1
99,2,269.3,7,22,4,2,1,0,6,0
270,0,80.0,4,20,3,4,0,0,0,1
0,1,174.0,8,21,4,1,0,0,5,1
72,0,119.0,12,19,4,3,1,0,3,0
22,1,120.0,9,8,4,1,0,0,3,1
25,1,85.0,3,15,4,2,0,0,0,1
4,3,109.23,11,17,4,3,1,0,0,1
66,0,88.2,4,2,4,1,1,0,0,0
195,0,147.0,8,23,4,5,1,1,3,0
2,0,71.0,2,10,2,1,0,0,0,1
77,0,94.5,7,12,4,2,0,3,0,0
142,0,99.3,8,24,4,3,0,0,0,1
115,0,76.0,2,27,3,2,2,0,0,1
1,3,95.0,3,31,2,1,0,0,0,1
76,0,82.45,7,1,3,5,2,0,3,1
91,0,134.1,8,21,4,0,2,0,0,1
53,1,107.1,7,3,4,1,2,3,0,1
33,1,42.0,11,10,3,4,0,0,0,1
290,0,72.0,6,17,3,2,1,0,0,1
3,0,138.5,7,11,3,1,2,1,0,1
113,0,89.4,10,24,4,2,1,3,0,0
163,2,123.3,10,26,4,3,0,0,3,0
27,0,43.43,2,11,3,5,2,0,0,1
68,0,43.43,2,20,3,5,2,0,0,1
212,1,78.0,5,20,3,3,2,0,0,1
60,0,95.1,6,26,4,1,2,3,0,0
66,0,126.0,3,5,4,1,1,1,0,0
0,0,160.0,9,27,2,1,0,0,0,1
11,0,75.0,1,15,4,2,1,3,0,1
59,0,126.0,12,11,4,1,2,0,3,0
88,1,77.35,3,20,4,3,2,0,0,1
74,1,99.45,4,13,4,4,0,0,0,1
86,0,73.95,3,20,4,2,2,0,0,1
33,0,63.58,3,16,3,4,1,0,0,1
45,1,79.2,11,11,4,2,0,3,0,1
175,1,85.5,7,23,4,1,1,3,0,1
136,0,90.9,8,26,4,2,0,0,0,1
43,0,85.0,10,13,3,1,0,0,0,1
11,2,90.0,8,28,4,1,0,0,0,1
29,2,144.0,10,28,4,1,0,0,3,1
47,1,100.0,8,18,3,2,0,0,0,1
10,0,80.75,12,5,4,1,1,0,0,1
161,0,128.7,5,19,4,3,0,0,3,0
143,0,106.0,7,18,2,3,1,0,4,1
85,0,125.0,9,30,3,3,0,1,0,1
1,1,65.0,12,29,2,1,0,0,0,1
9,0,65.0,12,10,2,1,0,0,0,1
31,1,111.6,10,2,4,1,0,0,0,0
66,2,187.85,5,25,4,5,2,0,5,1
57,0,75.33,6,10,3,2,1,0,0,1
32,0,70.0,12,27,3,5,1,0,0,1
91,1,106.92,10,7,4,1,0,0,0,0
89,0,183.3,7,21,4,3,0,0,5,0
49,1,116.7,6,26,4,1,2,0,0,1
21,1,107.64,11,8,4,7,2,0,3,1
88,1,207.9,9,24,4,1,2,0,5,0
154,0,95.4,8,24,4,2,0,0,0,0
1,0,96.0,8,29,4,1,2,0,0,1
129,0,131.75,7,25,4,4,1,1,0,0
174,0,105.3,8,13,4,1,1,0,0,0
6,3,91.0,11,13,4,2,2,0,0,1
9,1,107.0,11,12,4,3,1,0,3,1
25,1,90.95,11,6,4,2,2,0,0,1
32,0,126.9,5,8,4,1,2,0,0,0
3,0,136.0,10,18,4,1,2,0,3,1
122,0,85.5,7,16,4,2,0,0,0,0
86,0,75.0,12,15,3,2,0,0,0,1
42,0,85.05,11,24,3,2,0,0,0,1
11,1,104.0,12,16,4,1,0,0,0,1
75,1,112.79,10,22,4,2,2,0,3,0
13,2,124.0,9,22,4,3,0,0,0,1
296,0,56.01,10,24,4,4,2,0,1,0
169,1,105.3,8,22,4,1,1,0,0,0
15,1,151.0,7,2,4,1,2,0,0,1
56,0,185.0,9,25,3,2,2,0,0,1
198,0,90.0,9,9,3,2,1,0,0,0
84,2,89.25,10,16,4,2,1,0,0,1
146,0,89.75,9,21,3,1,0,0,0,1
74,0,114.3,3,24,4,3,0,0,3,0
1,1,119.0,10,28,3,1,0,0,4,1
3,0,68.0,3,11,3,2,2,0,0,1
0,0,163.18,5,18,2,1,0,0,0,0
18,1,128.0,6,23,4,1,0,0,3,1
8,1,93.0,8,18,4,5,0,0,0,1
161,0,59.5,10,31,3,3,1,3,0,1
64,2,115.03,4,23,4,4,2,0,0,1
21,1,80.3,1,29,4,2,0,0,0,1
121,1,129.0,5,2,4,0,1,3,0,1
190,2,90.65,6,8,4,4,0,0,3,0
7,2,90.0,8,26,4,2,0,0,0,1
107,0,76.5,8,12,4,1,0,0,1,1
223,1,89.73,9,2,4,12,4,3,0,0
127,2,80.1,10,30,4,0,1,3,0,1
34,1,124.25,9,18,4,0,2,0,1,1
102,1,94.5,7,26,4,2,0,3,0,0
11,1,150.0,11,5,4,1,0,0,0,0
25,1,79.9,12,13,4,4,0,0,0,1
2,0,75.0,12,11,3,1,0,0,0,1
105,0,75.0,4,6,4,1,0,0,0,0
18,0,118.0,9,4,4,0,1,3,0,0
73,2,140.4,8,6,4,1,2,0,3,1
132,0,72.25,7,1,3,2,1,0,0,1
125,0,72.25,7,20,4,2,0,0,1,0
52,3,103.7,12,4,4,2,2,0,0,1
55,1,84.2,3,5,4,6,2,0,3,1
265,1,115.0,6,24,3,2,0,1,0,0
270,0,62.8,4,20,3,4,0,0,0,0
18,0,73.95,1,12,4,2,0,0,0,1
34,0,181.2,4,24,4,4,2,0,5,0
